@RELATION 'Waveform'

@ATTRIBUTE 'var_0000' real
@ATTRIBUTE 'var_0001' real
@ATTRIBUTE 'var_0002' real
@ATTRIBUTE 'var_0003' real
@ATTRIBUTE 'var_0004' real
@ATTRIBUTE 'var_0005' real
@ATTRIBUTE 'var_0006' real
@ATTRIBUTE 'var_0007' real
@ATTRIBUTE 'var_0008' real
@ATTRIBUTE 'var_0009' real
@ATTRIBUTE 'var_0010' real
@ATTRIBUTE 'var_0011' real
@ATTRIBUTE 'var_0012' real
@ATTRIBUTE 'var_0013' real
@ATTRIBUTE 'var_0014' real
@ATTRIBUTE 'var_0015' real
@ATTRIBUTE 'var_0016' real
@ATTRIBUTE 'var_0017' real
@ATTRIBUTE 'var_0018' real
@ATTRIBUTE 'var_0019' real
@ATTRIBUTE 'var_0020' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'no','yes'}

@DATA
-1.23,-1.56,-1.75,-0.28,0.6,2.22,0.85,0.21,-0.2,0.89,1.08,4.2,2.89,7.75,4.59,3.15,5.12,3.32,1.2,0.24,-0.56,1,'no'
-0.69,2.43,0.61,2.08,2.3,3.25,5.52,4.55,2.97,2.22,2.81,1.61,1.24,1.89,1.88,-1.34,0.83,1.41,1.78,0.6,2.42,2,'no'
-0.12,-0.94,1.29,2.59,2.42,3.55,4.94,3.25,1.9,2.07,0.51,1.45,2.5,0.12,1.41,2.78,0.64,0.62,-0.01,-0.79,-0.12,3,'yes'
0.86,0.29,2.19,-0.02,1.13,2.51,2.37,5.45,5.45,4.84,4.65,4.05,2.58,1.4,1.24,1.41,1.07,-1.43,2.84,-1.18,1.12,4,'no'
1.16,0.37,0.4,-0.59,2.66,1,2.69,4.06,5.34,3.53,4.82,4.79,4.3,1.84,1.73,0.21,-0.18,0.13,-0.21,-0.8,-0.68,5,'no'
0,0.77,1.32,0.29,-1.28,0.84,1.6,1.55,2.93,4.76,5.55,4.3,4.89,2.81,2.37,3.68,-0.98,0.69,0.91,-1.8,0.39,6,'no'
0.87,1.07,-0.65,1.46,0.84,2.7,3.67,2.94,3.81,5.2,8.16,3.29,4.24,2.43,0.4,1.6,0.72,0.66,0.05,-0.24,0.67,7,'no'
-0.22,-0.91,-1.18,0.35,-1.92,-1.59,1.91,0.75,1.72,2.02,3.63,3.91,2.73,4.29,4.89,2.04,1.13,-0.66,-1.33,0.41,-0.75,8,'no'
-1.11,-1.14,-0.89,0,0.53,0.44,0.24,2.15,1.64,1.75,3.92,5.68,3.39,4.24,3.81,4.56,3.18,1.51,2.9,0.14,-0.12,9,'no'
-0.75,1.1,-1.9,1.43,0.47,0.4,0.86,3.51,2.62,4.5,6.83,6.94,0.75,3.23,1.08,-0.25,0.73,-0.41,-1.5,0.46,1.47,10,'no'
0.14,-1.18,1.42,2.28,3.1,3.15,3.49,4.54,1.4,3.41,3.4,2.83,0.06,0.6,3.61,2.08,-0.83,0.55,-0.55,-0.43,-1.05,11,'yes'
1.32,-0.4,-0.69,4.17,3.66,4,5.24,3.88,2.17,1.82,3.65,1.01,1.82,1.13,-0.07,0.26,0.5,1.38,1.25,-1.34,0.53,12,'yes'
-0.93,2.48,1.2,2.97,2.91,3.57,3.68,4.19,3.22,3.53,2.46,2.17,0.77,0.52,2.42,-0.89,0.51,-0.39,0.82,0.14,-0.63,13,'no'
-1.06,0.59,1.01,3.33,2.05,3.2,4.7,4.21,4.73,2.22,2.67,2.79,2.05,-1.53,-1.54,0.37,-0.09,1.04,-0.08,-0.27,0.47,14,'no'
1.86,0.37,-0.35,0.74,0.84,0.21,1.97,1.52,1.85,2.39,3.92,3.76,3.27,1.61,3.08,2.78,1.58,1.68,2.61,-0.91,-0.27,15,'no'
-0.51,-0.48,0.35,-1.67,0.26,2.45,-0.09,2.03,0.79,1.42,1.13,2.52,2.06,4.5,4.28,4.66,3.3,0.38,0.75,1.76,0.37,16,'yes'
1.16,-1.19,-2.26,0.63,0.32,1.51,2.11,2.58,1.03,2.01,4.04,4.55,5.65,2.74,3.12,2.67,2.01,4.12,-0.81,0.07,-0.96,17,'no'
-0.09,2.3,-0.43,0.36,0.11,-1.2,1.47,2.25,3.5,2.14,6.68,5.45,2.22,2.79,2.61,1.87,0.48,1.98,1.64,1.32,0.71,18,'no'
-1.43,-0.46,-0.52,1.45,0,1.35,1.39,0.81,0.03,1.39,2.55,2.42,3.07,5.46,6.29,6.5,4.6,3.77,1.62,1.01,-1.86,19,'yes'
-1.09,-0.22,0.11,-1.03,1.09,1.72,1.91,3.61,2.22,4.67,4.02,5.32,1.63,2.02,0.4,1.37,1.8,-0.59,-1.22,-0.1,-1.56,20,'no'
-0.95,-1.28,0.68,-0.31,-1.04,1.86,-0.13,0.16,-1.05,-0.24,1.47,2.3,4.23,4.7,7.4,6.18,3,3.84,2.33,1.28,0.08,21,'no'
0.97,0.72,-0.64,-0.87,0.66,0.8,-0.47,0.55,0.57,0.3,1.97,2.48,3.13,2.53,6.35,5.24,4.37,3.77,0.47,2.25,-0.3,22,'yes'
0.31,-0.34,-1.32,-1.24,-1.28,-0.02,-1.8,0.11,3.29,3.63,3.32,3.75,5.93,5.41,4.94,5.15,2.07,3.62,1.56,0.05,-0.31,23,'no'
-1.57,1.23,2.03,2.07,3.88,4.71,4.44,3.76,5,4.49,3.59,2.05,1.83,0.64,-0.21,0.79,-1.42,-0.73,-2.04,2.65,-0.26,24,'no'
0.39,0.93,0.19,-0.5,0.39,-0.58,0.13,0.85,2.63,3.32,4.41,4.24,3.59,4.06,3.42,2.33,2.04,0.83,1.16,0.81,0.91,25,'no'
-0.96,0.13,0.13,-0.7,2.89,1.26,3.48,4.36,0.59,2.37,2.02,2.62,2.75,2.6,3.66,3.06,1.41,1.09,1.25,-0.29,-0.41,26,'yes'
0.36,0.4,0.73,1.91,1.44,3.17,2.72,3.6,1.02,3.27,1.06,1.54,3.44,2.45,2.58,-0.48,1.02,-0.01,2.42,0.71,-0.81,27,'yes'
1.22,-0.19,1.38,0.16,0.14,3.07,4.07,5.37,4.33,3.96,6.73,2.16,2.83,1.27,1.57,0.73,0.8,0.15,-0.99,0.6,0.13,28,'no'
-1.07,1.18,-0.22,1.13,0.01,0.33,0.76,1.2,2.44,2.32,4.24,3.25,4.78,4.18,3.28,2.91,-0.04,2.57,0.91,1.46,0.39,29,'no'
1.01,0.4,1.01,0.6,2.77,1.7,1.44,4.01,5.26,4.47,4.67,4.55,2.91,0.3,1.62,0.92,-0.46,0.51,1.43,-0.05,-1.8,30,'no'
-0.73,-0.31,-1.88,-1.4,0.46,1.44,3.38,2.93,5.07,6.01,6.3,3.41,4.52,4.66,1.06,0.65,0.29,1.26,-1.04,-0.72,-0.71,31,'no'
-0.47,0.46,4.5,3.1,3.39,4.79,6.43,3.7,4.09,2.03,0.87,1.78,-0.78,-1.88,-2.09,0.29,0.01,0.06,-0.76,1.5,0.5,32,'yes'
